record_id,log_date,equipment_id,technician_id,customer_id,erp_order_id,maintenance_type,maintenance_status,log_description,summarized_log,failure_rate,maintenance_cost,downtime_hours,summarization_time_saved
MTN-00117,2026-07-06,EQ-0117,TECH-037,ECUST-0117,ERP-00117,Predictive Maintenance,Cancelled,Technician note for EQ-0117 on 2026-07-06.,AI summary: Predictive Maintenance on EQ-0117.,0.3179,5062.65,58,4
MTN-00118,2025-10-05,EQ-0118,TECH-038,ECUST-0118,ERP-00118,Corrective Maintenance,Completed,Technician note for EQ-0118 on 2025-10-05.,AI summary: Corrective Maintenance on EQ-0118.,0.7311,9486.9,84,4
MTN-00119,2026-02-13,EQ-0119,TECH-039,ECUST-0119,ERP-00119,Condition-Based Maintenance,Delayed,Technician note for EQ-0119 on 2026-02-13.,AI summary: Condition-Based Maintenance on EQ-0119.,0.6975,8975.87,75,7
MTN-00120,2026-05-19,EQ-0120,TECH-040,ECUST-0120,ERP-00120,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0120 on 2026-05-19.,AI summary: Reliability-Centered Maintenance on EQ-0120.,0.4412,13454.99,135,0
MTN-00121,2025-07-05,EQ-0121,TECH-001,ECUST-0121,ERP-00121,Preventive Maintenance,Cancelled,Technician note for EQ-0121 on 2025-07-05.,AI summary: Preventive Maintenance on EQ-0121.,0.1985,7696.99,131,5
MTN-00122,2025-06-27,EQ-0122,TECH-002,ECUST-0122,ERP-00122,Predictive Maintenance,Delayed,Technician note for EQ-0122 on 2025-06-27.,AI summary: Predictive Maintenance on EQ-0122.,0.2905,13946.33,131,8
MTN-00123,2024-11-25,EQ-0123,TECH-003,ECUST-0123,ERP-00123,Corrective Maintenance,Delayed,Technician note for EQ-0123 on 2024-11-25.,AI summary: Corrective Maintenance on EQ-0123.,0.6669,3757.63,67,2
MTN-00124,2025-04-18,EQ-0124,TECH-004,ECUST-0124,ERP-00124,Condition-Based Maintenance,In Progress,Technician note for EQ-0124 on 2025-04-18.,AI summary: Condition-Based Maintenance on EQ-0124.,0.0746,13205.58,157,8
MTN-00125,2025-10-11,EQ-0125,TECH-005,ECUST-0125,ERP-00125,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0125 on 2025-10-11.,AI summary: Reliability-Centered Maintenance on EQ-0125.,0.077,8391.39,103,8
MTN-00126,2024-07-23,EQ-0126,TECH-006,ECUST-0126,ERP-00126,Preventive Maintenance,Delayed,Technician note for EQ-0126 on 2024-07-23.,AI summary: Preventive Maintenance on EQ-0126.,0.3039,12625.68,118,5
MTN-00127,2024-12-26,EQ-0127,TECH-007,ECUST-0127,ERP-00127,Predictive Maintenance,In Progress,Technician note for EQ-0127 on 2024-12-26.,AI summary: Predictive Maintenance on EQ-0127.,0.9865,13235.59,98,6
MTN-00128,2024-11-10,EQ-0128,TECH-008,ECUST-0128,ERP-00128,Corrective Maintenance,Delayed,Technician note for EQ-0128 on 2024-11-10.,AI summary: Corrective Maintenance on EQ-0128.,0.4731,8488.93,73,3
MTN-00129,2025-04-30,EQ-0129,TECH-009,ECUST-0129,ERP-00129,Condition-Based Maintenance,Cancelled,Technician note for EQ-0129 on 2025-04-30.,AI summary: Condition-Based Maintenance on EQ-0129.,0.5748,14455.38,64,5
MTN-00130,2025-04-29,EQ-0130,TECH-010,ECUST-0130,ERP-00130,Reliability-Centered Maintenance,Completed,Technician note for EQ-0130 on 2025-04-29.,AI summary: Reliability-Centered Maintenance on EQ-0130.,0.6767,2561.5,9,8
MTN-00131,2025-06-28,EQ-0131,TECH-011,ECUST-0131,ERP-00131,Preventive Maintenance,Scheduled,Technician note for EQ-0131 on 2025-06-28.,AI summary: Preventive Maintenance on EQ-0131.,0.6665,4413.39,124,5
MTN-00132,2024-09-19,EQ-0132,TECH-012,ECUST-0132,ERP-00132,Predictive Maintenance,In Progress,Technician note for EQ-0132 on 2024-09-19.,AI summary: Predictive Maintenance on EQ-0132.,0.5177,3491.17,78,3
MTN-00133,2026-03-11,EQ-0133,TECH-013,ECUST-0133,ERP-00133,Corrective Maintenance,Cancelled,Technician note for EQ-0133 on 2026-03-11.,AI summary: Corrective Maintenance on EQ-0133.,0.4368,882.15,145,0
MTN-00134,2024-07-05,EQ-0134,TECH-014,ECUST-0134,ERP-00134,Condition-Based Maintenance,Delayed,Technician note for EQ-0134 on 2024-07-05.,AI summary: Condition-Based Maintenance on EQ-0134.,0.7603,14831.92,127,6
MTN-00135,2025-09-25,EQ-0135,TECH-015,ECUST-0135,ERP-00135,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0135 on 2025-09-25.,AI summary: Reliability-Centered Maintenance on EQ-0135.,0.8295,10059.81,197,3
MTN-00136,2025-06-03,EQ-0136,TECH-016,ECUST-0136,ERP-00136,Preventive Maintenance,In Progress,Technician note for EQ-0136 on 2025-06-03.,AI summary: Preventive Maintenance on EQ-0136.,0.5964,14791.48,1,8
MTN-00137,2024-09-19,EQ-0137,TECH-017,ECUST-0137,ERP-00137,Predictive Maintenance,Cancelled,Technician note for EQ-0137 on 2024-09-19.,AI summary: Predictive Maintenance on EQ-0137.,0.7151,5415.31,8,7
MTN-00138,2026-06-21,EQ-0138,TECH-018,ECUST-0138,ERP-00138,Corrective Maintenance,Delayed,Technician note for EQ-0138 on 2026-06-21.,AI summary: Corrective Maintenance on EQ-0138.,0.6231,1826.24,197,6
MTN-00139,2025-03-08,EQ-0139,TECH-019,ECUST-0139,ERP-00139,Condition-Based Maintenance,Scheduled,Technician note for EQ-0139 on 2025-03-08.,AI summary: Condition-Based Maintenance on EQ-0139.,0.5314,4939.09,147,3
MTN-00140,2025-10-24,EQ-0140,TECH-020,ECUST-0140,ERP-00140,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0140 on 2025-10-24.,AI summary: Reliability-Centered Maintenance on EQ-0140.,0.3401,6463.7,102,7
MTN-00141,2025-05-07,EQ-0141,TECH-021,ECUST-0141,ERP-00141,Preventive Maintenance,Cancelled,Technician note for EQ-0141 on 2025-05-07.,AI summary: Preventive Maintenance on EQ-0141.,0.1789,12890.91,96,5
MTN-00142,2025-05-03,EQ-0142,TECH-022,ECUST-0142,ERP-00142,Predictive Maintenance,Completed,Technician note for EQ-0142 on 2025-05-03.,AI summary: Predictive Maintenance on EQ-0142.,0.3913,1652.41,94,8
MTN-00143,2025-06-10,EQ-0143,TECH-023,ECUST-0143,ERP-00143,Corrective Maintenance,In Progress,Technician note for EQ-0143 on 2025-06-10.,AI summary: Corrective Maintenance on EQ-0143.,0.4391,1294.64,131,1
MTN-00144,2026-05-14,EQ-0144,TECH-024,ECUST-0144,ERP-00144,Condition-Based Maintenance,Completed,Technician note for EQ-0144 on 2026-05-14.,AI summary: Condition-Based Maintenance on EQ-0144.,0.7051,7446.68,187,6
MTN-00145,2026-04-14,EQ-0145,TECH-025,ECUST-0145,ERP-00145,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0145 on 2026-04-14.,AI summary: Reliability-Centered Maintenance on EQ-0145.,0.9827,626.27,156,2
MTN-00146,2025-07-10,EQ-0146,TECH-026,ECUST-0146,ERP-00146,Preventive Maintenance,In Progress,Technician note for EQ-0146 on 2025-07-10.,AI summary: Preventive Maintenance on EQ-0146.,0.8053,13442.5,83,0
MTN-00147,2024-09-13,EQ-0147,TECH-027,ECUST-0147,ERP-00147,Predictive Maintenance,Completed,Technician note for EQ-0147 on 2024-09-13.,AI summary: Predictive Maintenance on EQ-0147.,0.5943,4775.75,182,5
MTN-00148,2024-07-29,EQ-0148,TECH-028,ECUST-0148,ERP-00148,Corrective Maintenance,Delayed,Technician note for EQ-0148 on 2024-07-29.,AI summary: Corrective Maintenance on EQ-0148.,0.1355,7000.81,8,0
MTN-00149,2025-11-04,EQ-0149,TECH-029,ECUST-0149,ERP-00149,Condition-Based Maintenance,Cancelled,Technician note for EQ-0149 on 2025-11-04.,AI summary: Condition-Based Maintenance on EQ-0149.,0.6535,5636.39,7,6
MTN-00150,2025-03-18,EQ-0150,TECH-030,ECUST-0150,ERP-00150,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0150 on 2025-03-18.,AI summary: Reliability-Centered Maintenance on EQ-0150.,0.2946,13345.64,90,4
MTN-00151,2025-09-10,EQ-0001,TECH-031,ECUST-0151,ERP-00151,Preventive Maintenance,Scheduled,Technician note for EQ-0001 on 2025-09-10.,AI summary: Preventive Maintenance on EQ-0001.,0.311,8773.98,171,6
MTN-00152,2025-07-19,EQ-0002,TECH-032,ECUST-0152,ERP-00152,Predictive Maintenance,In Progress,Technician note for EQ-0002 on 2025-07-19.,AI summary: Predictive Maintenance on EQ-0002.,0.5111,4571.14,153,1
MTN-00153,2025-05-01,EQ-0003,TECH-033,ECUST-0153,ERP-00153,Corrective Maintenance,Cancelled,Technician note for EQ-0003 on 2025-05-01.,AI summary: Corrective Maintenance on EQ-0003.,0.8721,14083.97,180,1
MTN-00154,2024-12-27,EQ-0004,TECH-034,ECUST-0154,ERP-00154,Condition-Based Maintenance,Delayed,Technician note for EQ-0004 on 2024-12-27.,AI summary: Condition-Based Maintenance on EQ-0004.,0.7662,203.73,190,2
MTN-00155,2026-06-10,EQ-0005,TECH-035,ECUST-0155,ERP-00155,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0005 on 2026-06-10.,AI summary: Reliability-Centered Maintenance on EQ-0005.,0.5228,14685.75,104,7
MTN-00156,2025-08-07,EQ-0006,TECH-036,ECUST-0156,ERP-00156,Preventive Maintenance,In Progress,Technician note for EQ-0006 on 2025-08-07.,AI summary: Preventive Maintenance on EQ-0006.,0.3993,433.79,35,2
MTN-00157,2026-03-29,EQ-0007,TECH-037,ECUST-0157,ERP-00157,Predictive Maintenance,Cancelled,Technician note for EQ-0007 on 2026-03-29.,AI summary: Predictive Maintenance on EQ-0007.,0.5925,10377.96,167,0
MTN-00158,2025-04-14,EQ-0008,TECH-038,ECUST-0158,ERP-00158,Corrective Maintenance,Completed,Technician note for EQ-0008 on 2025-04-14.,AI summary: Corrective Maintenance on EQ-0008.,0.178,2791.07,27,5
MTN-00159,2026-01-04,EQ-0009,TECH-039,ECUST-0159,ERP-00159,Condition-Based Maintenance,Delayed,Technician note for EQ-0009 on 2026-01-04.,AI summary: Condition-Based Maintenance on EQ-0009.,0.4155,4233.15,35,6
MTN-00160,2025-06-10,EQ-0010,TECH-040,ECUST-0160,ERP-00160,Reliability-Centered Maintenance,Scheduled,Technician note for EQ-0010 on 2025-06-10.,AI summary: Reliability-Centered Maintenance on EQ-0010.,0.2117,7634.74,13,3
MTN-00161,2024-12-07,EQ-0011,TECH-001,ECUST-0161,ERP-00161,Preventive Maintenance,Cancelled,Technician note for EQ-0011 on 2024-12-07.,AI summary: Preventive Maintenance on EQ-0011.,0.6063,5109.71,127,8
MTN-00162,2026-05-11,EQ-0012,TECH-002,ECUST-0162,ERP-00162,Predictive Maintenance,In Progress,Technician note for EQ-0012 on 2026-05-11.,AI summary: Predictive Maintenance on EQ-0012.,0.4024,6222.78,113,3
MTN-00163,2024-08-27,EQ-0013,TECH-003,ECUST-0163,ERP-00163,Corrective Maintenance,Delayed,Technician note for EQ-0013 on 2024-08-27.,AI summary: Corrective Maintenance on EQ-0013.,0.1504,5454.71,173,7
MTN-00164,2025-07-31,EQ-0014,TECH-004,ECUST-0164,ERP-00164,Condition-Based Maintenance,In Progress,Technician note for EQ-0014 on 2025-07-31.,AI summary: Condition-Based Maintenance on EQ-0014.,0.6439,9154.38,119,4
MTN-00165,2024-12-01,EQ-0015,TECH-005,ECUST-0165,ERP-00165,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0015 on 2024-12-01.,AI summary: Reliability-Centered Maintenance on EQ-0015.,0.8117,11382.04,95,0
MTN-00166,2024-06-30,EQ-0016,TECH-006,ECUST-0166,ERP-00166,Preventive Maintenance,In Progress,Technician note for EQ-0016 on 2024-06-30.,AI summary: Preventive Maintenance on EQ-0016.,0.811,4689.52,93,0
MTN-00167,2026-03-08,EQ-0017,TECH-007,ECUST-0167,ERP-00167,Predictive Maintenance,Completed,Technician note for EQ-0017 on 2026-03-08.,AI summary: Predictive Maintenance on EQ-0017.,0.5309,12544.51,92,1
MTN-00168,2024-12-29,EQ-0018,TECH-008,ECUST-0168,ERP-00168,Corrective Maintenance,In Progress,Technician note for EQ-0018 on 2024-12-29.,AI summary: Corrective Maintenance on EQ-0018.,0.8973,836.28,1,0
MTN-00169,2025-02-17,EQ-0019,TECH-009,ECUST-0169,ERP-00169,Condition-Based Maintenance,Cancelled,Technician note for EQ-0019 on 2025-02-17.,AI summary: Condition-Based Maintenance on EQ-0019.,0.9548,11771.22,38,4
MTN-00170,2024-07-27,EQ-0020,TECH-010,ECUST-0170,ERP-00170,Reliability-Centered Maintenance,Completed,Technician note for EQ-0020 on 2024-07-27.,AI summary: Reliability-Centered Maintenance on EQ-0020.,0.7994,12845.03,73,5
MTN-00171,2025-02-17,EQ-0021,TECH-011,ECUST-0171,ERP-00171,Preventive Maintenance,Scheduled,Technician note for EQ-0021 on 2025-02-17.,AI summary: Preventive Maintenance on EQ-0021.,0.2188,3526.81,41,6
MTN-00172,2026-02-15,EQ-0022,TECH-012,ECUST-0172,ERP-00172,Predictive Maintenance,In Progress,Technician note for EQ-0022 on 2026-02-15.,AI summary: Predictive Maintenance on EQ-0022.,0.7388,10984.37,85,2
MTN-00173,2024-06-30,EQ-0023,TECH-013,ECUST-0173,ERP-00173,Corrective Maintenance,Cancelled,Technician note for EQ-0023 on 2024-06-30.,AI summary: Corrective Maintenance on EQ-0023.,0.7732,10729.85,169,1
MTN-00174,2024-11-27,EQ-0024,TECH-014,ECUST-0174,ERP-00174,Condition-Based Maintenance,Completed,Technician note for EQ-0024 on 2024-11-27.,AI summary: Condition-Based Maintenance on EQ-0024.,0.6452,622.93,14,7
MTN-00175,2025-01-16,EQ-0025,TECH-015,ECUST-0175,ERP-00175,Reliability-Centered Maintenance,Completed,Technician note for EQ-0025 on 2025-01-16.,AI summary: Reliability-Centered Maintenance on EQ-0025.,0.4189,14304.76,191,1
MTN-00176,2024-08-12,EQ-0026,TECH-016,ECUST-0176,ERP-00176,Preventive Maintenance,In Progress,Technician note for EQ-0026 on 2024-08-12.,AI summary: Preventive Maintenance on EQ-0026.,0.2321,7481.96,22,0
MTN-00177,2026-04-14,EQ-0027,TECH-017,ECUST-0177,ERP-00177,Predictive Maintenance,Cancelled,Technician note for EQ-0027 on 2026-04-14.,AI summary: Predictive Maintenance on EQ-0027.,0.5454,13577.22,182,7
MTN-00178,2025-10-01,EQ-0028,TECH-018,ECUST-0178,ERP-00178,Corrective Maintenance,Scheduled,Technician note for EQ-0028 on 2025-10-01.,AI summary: Corrective Maintenance on EQ-0028.,0.5144,8410.65,111,3
MTN-00179,2024-12-29,EQ-0029,TECH-019,ECUST-0179,ERP-00179,Condition-Based Maintenance,In Progress,Technician note for EQ-0029 on 2024-12-29.,AI summary: Condition-Based Maintenance on EQ-0029.,0.6812,8322.93,187,1
MTN-00180,2024-11-03,EQ-0030,TECH-020,ECUST-0180,ERP-00180,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0030 on 2024-11-03.,AI summary: Reliability-Centered Maintenance on EQ-0030.,0.1188,1753.53,130,5
MTN-00181,2025-04-28,EQ-0031,TECH-021,ECUST-0181,ERP-00181,Preventive Maintenance,Cancelled,Technician note for EQ-0031 on 2025-04-28.,AI summary: Preventive Maintenance on EQ-0031.,0.1423,7043.61,155,6
MTN-00182,2026-03-28,EQ-0032,TECH-022,ECUST-0182,ERP-00182,Predictive Maintenance,Delayed,Technician note for EQ-0032 on 2026-03-28.,AI summary: Predictive Maintenance on EQ-0032.,0.8382,13684.35,181,4
MTN-00183,2024-12-05,EQ-0033,TECH-023,ECUST-0183,ERP-00183,Corrective Maintenance,Completed,Technician note for EQ-0033 on 2024-12-05.,AI summary: Corrective Maintenance on EQ-0033.,0.7074,1238.92,99,8
MTN-00184,2025-01-22,EQ-0034,TECH-024,ECUST-0184,ERP-00184,Condition-Based Maintenance,In Progress,Technician note for EQ-0034 on 2025-01-22.,AI summary: Condition-Based Maintenance on EQ-0034.,0.2526,650.71,102,8
MTN-00185,2024-10-29,EQ-0035,TECH-025,ECUST-0185,ERP-00185,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0035 on 2024-10-29.,AI summary: Reliability-Centered Maintenance on EQ-0035.,0.0281,3642.39,177,4
MTN-00186,2025-05-10,EQ-0036,TECH-026,ECUST-0186,ERP-00186,Preventive Maintenance,Completed,Technician note for EQ-0036 on 2025-05-10.,AI summary: Preventive Maintenance on EQ-0036.,0.0503,2122.42,18,1
MTN-00187,2025-01-02,EQ-0037,TECH-027,ECUST-0187,ERP-00187,Predictive Maintenance,Scheduled,Technician note for EQ-0037 on 2025-01-02.,AI summary: Predictive Maintenance on EQ-0037.,0.462,7195.94,138,7
MTN-00188,2024-11-21,EQ-0038,TECH-028,ECUST-0188,ERP-00188,Corrective Maintenance,Scheduled,Technician note for EQ-0038 on 2024-11-21.,AI summary: Corrective Maintenance on EQ-0038.,0.0102,9687.9,24,2
MTN-00189,2026-05-31,EQ-0039,TECH-029,ECUST-0189,ERP-00189,Condition-Based Maintenance,Cancelled,Technician note for EQ-0039 on 2026-05-31.,AI summary: Condition-Based Maintenance on EQ-0039.,0.5124,8724.06,56,4
MTN-00190,2026-03-02,EQ-0040,TECH-030,ECUST-0190,ERP-00190,Reliability-Centered Maintenance,In Progress,Technician note for EQ-0040 on 2026-03-02.,AI summary: Reliability-Centered Maintenance on EQ-0040.,0.3851,1312.88,26,3
MTN-00191,2025-12-19,EQ-0041,TECH-031,ECUST-0191,ERP-00191,Preventive Maintenance,Completed,Technician note for EQ-0041 on 2025-12-19.,AI summary: Preventive Maintenance on EQ-0041.,0.3138,7954.11,63,5
MTN-00192,2024-06-29,EQ-0042,TECH-032,ECUST-0192,ERP-00192,Predictive Maintenance,Delayed,Technician note for EQ-0042 on 2024-06-29.,AI summary: Predictive Maintenance on EQ-0042.,0.4565,2755.93,92,1
MTN-00193,2026-03-22,EQ-0043,TECH-033,ECUST-0193,ERP-00193,Corrective Maintenance,Cancelled,Technician note for EQ-0043 on 2026-03-22.,AI summary: Corrective Maintenance on EQ-0043.,0.5215,4099.01,15,0
MTN-00194,2025-12-29,EQ-0044,TECH-034,ECUST-0194,ERP-00194,Condition-Based Maintenance,Completed,Technician note for EQ-0044 on 2025-12-29.,AI summary: Condition-Based Maintenance on EQ-0044.,0.4065,9090.81,190,2
MTN-00195,2026-07-01,EQ-0045,TECH-035,ECUST-0195,ERP-00195,Reliability-Centered Maintenance,Completed,Technician note for EQ-0045 on 2026-07-01.,AI summary: Reliability-Centered Maintenance on EQ-0045.,0.4742,13138.91,46,7
MTN-00196,2025-09-30,EQ-0046,TECH-036,ECUST-0196,ERP-00196,Preventive Maintenance,Completed,Technician note for EQ-0046 on 2025-09-30.,AI summary: Preventive Maintenance on EQ-0046.,0.3858,905.83,125,8
MTN-00197,2025-09-27,EQ-0047,TECH-037,ECUST-0197,ERP-00197,Predictive Maintenance,Cancelled,Technician note for EQ-0047 on 2025-09-27.,AI summary: Predictive Maintenance on EQ-0047.,0.8586,1735.66,152,6
MTN-00198,2026-07-07,EQ-0048,TECH-038,ECUST-0198,ERP-00198,Corrective Maintenance,Scheduled,Technician note for EQ-0048 on 2026-07-07.,AI summary: Corrective Maintenance on EQ-0048.,0.4645,3494.62,81,8
MTN-00199,2024-11-18,EQ-0049,TECH-039,ECUST-0199,ERP-00199,Condition-Based Maintenance,Scheduled,Technician note for EQ-0049 on 2024-11-18.,AI summary: Condition-Based Maintenance on EQ-0049.,0.7706,1616.18,125,2
MTN-00200,2026-01-21,EQ-0050,TECH-040,ECUST-0200,ERP-00200,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0050 on 2026-01-21.,AI summary: Reliability-Centered Maintenance on EQ-0050.,0.02,316.46,18,6
MTN-00201,2025-02-03,EQ-0051,TECH-001,ECUST-0201,ERP-00201,Preventive Maintenance,Cancelled,Technician note for EQ-0051 on 2025-02-03.,AI summary: Preventive Maintenance on EQ-0051.,0.2589,9076.4,115,3
MTN-00202,2024-07-30,EQ-0052,TECH-002,ECUST-0202,ERP-00202,Predictive Maintenance,Scheduled,Technician note for EQ-0052 on 2024-07-30.,AI summary: Predictive Maintenance on EQ-0052.,0.4783,5380.03,189,0
MTN-00203,2025-10-23,EQ-0053,TECH-003,ECUST-0203,ERP-00203,Corrective Maintenance,Scheduled,Technician note for EQ-0053 on 2025-10-23.,AI summary: Corrective Maintenance on EQ-0053.,0.6874,9525.62,121,3
MTN-00204,2025-07-26,EQ-0054,TECH-004,ECUST-0204,ERP-00204,Condition-Based Maintenance,In Progress,Technician note for EQ-0054 on 2025-07-26.,AI summary: Condition-Based Maintenance on EQ-0054.,0.1857,3694.43,71,4
MTN-00205,2026-05-11,EQ-0055,TECH-005,ECUST-0205,ERP-00205,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0055 on 2026-05-11.,AI summary: Reliability-Centered Maintenance on EQ-0055.,0.2362,8285.37,169,5
MTN-00206,2024-09-05,EQ-0056,TECH-006,ECUST-0206,ERP-00206,Preventive Maintenance,In Progress,Technician note for EQ-0056 on 2024-09-05.,AI summary: Preventive Maintenance on EQ-0056.,0.9658,4228.1,108,8
MTN-00207,2025-11-07,EQ-0057,TECH-007,ECUST-0207,ERP-00207,Predictive Maintenance,Completed,Technician note for EQ-0057 on 2025-11-07.,AI summary: Predictive Maintenance on EQ-0057.,0.1364,9297.38,52,7
MTN-00208,2024-07-24,EQ-0058,TECH-008,ECUST-0208,ERP-00208,Corrective Maintenance,In Progress,Technician note for EQ-0058 on 2024-07-24.,AI summary: Corrective Maintenance on EQ-0058.,0.4339,5264.73,43,4
MTN-00209,2026-05-09,EQ-0059,TECH-009,ECUST-0209,ERP-00209,Condition-Based Maintenance,Cancelled,Technician note for EQ-0059 on 2026-05-09.,AI summary: Condition-Based Maintenance on EQ-0059.,0.4697,2051.52,106,8
MTN-00210,2026-04-10,EQ-0060,TECH-010,ECUST-0210,ERP-00210,Reliability-Centered Maintenance,Completed,Technician note for EQ-0060 on 2026-04-10.,AI summary: Reliability-Centered Maintenance on EQ-0060.,0.0364,9387.06,143,0
MTN-00211,2024-07-09,EQ-0061,TECH-011,ECUST-0211,ERP-00211,Preventive Maintenance,Delayed,Technician note for EQ-0061 on 2024-07-09.,AI summary: Preventive Maintenance on EQ-0061.,0.4139,5205.4,31,7
MTN-00212,2025-11-03,EQ-0062,TECH-012,ECUST-0212,ERP-00212,Predictive Maintenance,Scheduled,Technician note for EQ-0062 on 2025-11-03.,AI summary: Predictive Maintenance on EQ-0062.,0.3641,14846.46,89,3
MTN-00213,2024-09-05,EQ-0063,TECH-013,ECUST-0213,ERP-00213,Corrective Maintenance,Cancelled,Technician note for EQ-0063 on 2024-09-05.,AI summary: Corrective Maintenance on EQ-0063.,0.951,7481.32,173,0
MTN-00214,2024-08-12,EQ-0064,TECH-014,ECUST-0214,ERP-00214,Condition-Based Maintenance,In Progress,Technician note for EQ-0064 on 2024-08-12.,AI summary: Condition-Based Maintenance on EQ-0064.,0.1605,4838.24,32,3
MTN-00215,2026-01-22,EQ-0065,TECH-015,ECUST-0215,ERP-00215,Reliability-Centered Maintenance,Completed,Technician note for EQ-0065 on 2026-01-22.,AI summary: Reliability-Centered Maintenance on EQ-0065.,0.6582,9352.16,36,2
MTN-00216,2026-03-20,EQ-0066,TECH-016,ECUST-0216,ERP-00216,Preventive Maintenance,Completed,Technician note for EQ-0066 on 2026-03-20.,AI summary: Preventive Maintenance on EQ-0066.,0.2405,11931.11,92,3
MTN-00217,2025-01-19,EQ-0067,TECH-017,ECUST-0217,ERP-00217,Predictive Maintenance,Cancelled,Technician note for EQ-0067 on 2025-01-19.,AI summary: Predictive Maintenance on EQ-0067.,0.3062,256.02,141,5
MTN-00218,2024-09-24,EQ-0068,TECH-018,ECUST-0218,ERP-00218,Corrective Maintenance,Completed,Technician note for EQ-0068 on 2024-09-24.,AI summary: Corrective Maintenance on EQ-0068.,0.6042,5569.18,73,5
MTN-00219,2024-10-28,EQ-0069,TECH-019,ECUST-0219,ERP-00219,Condition-Based Maintenance,In Progress,Technician note for EQ-0069 on 2024-10-28.,AI summary: Condition-Based Maintenance on EQ-0069.,0.2666,14155.32,134,7
MTN-00220,2024-11-03,EQ-0070,TECH-020,ECUST-0220,ERP-00220,Reliability-Centered Maintenance,Delayed,Technician note for EQ-0070 on 2024-11-03.,AI summary: Reliability-Centered Maintenance on EQ-0070.,0.8233,8926.95,156,4
MTN-00221,2025-02-12,EQ-0071,TECH-021,ECUST-0221,ERP-00221,Preventive Maintenance,Cancelled,Technician note for EQ-0071 on 2025-02-12.,AI summary: Preventive Maintenance on EQ-0071.,0.3524,5870.96,36,2
MTN-00222,2025-11-15,EQ-0072,TECH-022,ECUST-0222,ERP-00222,Predictive Maintenance,Completed,Technician note for EQ-0072 on 2025-11-15.,AI summary: Predictive Maintenance on EQ-0072.,0.0211,12789.06,161,8
MTN-00223,2026-06-07,EQ-0073,TECH-023,ECUST-0223,ERP-00223,Corrective Maintenance,Delayed,Technician note for EQ-0073 on 2026-06-07.,AI summary: Corrective Maintenance on EQ-0073.,0.1904,7917.4,124,2
MTN-00224,2025-03-31,EQ-0074,TECH-024,ECUST-0224,ERP-00224,Condition-Based Maintenance,Scheduled,Technician note for EQ-0074 on 2025-03-31.,AI summary: Condition-Based Maintenance on EQ-0074.,0.9907,14246.98,91,3
MTN-00225,2025-09-28,EQ-0075,TECH-025,ECUST-0225,ERP-00225,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0075 on 2025-09-28.,AI summary: Reliability-Centered Maintenance on EQ-0075.,0.6082,11816.62,109,1
MTN-00226,2024-08-13,EQ-0076,TECH-026,ECUST-0226,ERP-00226,Preventive Maintenance,Scheduled,Technician note for EQ-0076 on 2024-08-13.,AI summary: Preventive Maintenance on EQ-0076.,0.0496,14013.16,63,2
MTN-00227,2025-06-25,EQ-0077,TECH-027,ECUST-0227,ERP-00227,Predictive Maintenance,In Progress,Technician note for EQ-0077 on 2025-06-25.,AI summary: Predictive Maintenance on EQ-0077.,0.1153,10601.61,144,6
MTN-00228,2024-08-09,EQ-0078,TECH-028,ECUST-0228,ERP-00228,Corrective Maintenance,Completed,Technician note for EQ-0078 on 2024-08-09.,AI summary: Corrective Maintenance on EQ-0078.,0.8721,11073.0,14,4
MTN-00229,2026-03-19,EQ-0079,TECH-029,ECUST-0229,ERP-00229,Condition-Based Maintenance,Cancelled,Technician note for EQ-0079 on 2026-03-19.,AI summary: Condition-Based Maintenance on EQ-0079.,0.6903,8355.76,107,0
MTN-00230,2026-01-07,EQ-0080,TECH-030,ECUST-0230,ERP-00230,Reliability-Centered Maintenance,Completed,Technician note for EQ-0080 on 2026-01-07.,AI summary: Reliability-Centered Maintenance on EQ-0080.,0.182,12163.85,76,7
MTN-00231,2026-01-06,EQ-0081,TECH-031,ECUST-0231,ERP-00231,Preventive Maintenance,Delayed,Technician note for EQ-0081 on 2026-01-06.,AI summary: Preventive Maintenance on EQ-0081.,0.548,9189.5,38,7
MTN-00232,2025-05-12,EQ-0082,TECH-032,ECUST-0232,ERP-00232,Predictive Maintenance,Completed,Technician note for EQ-0082 on 2025-05-12.,AI summary: Predictive Maintenance on EQ-0082.,0.2132,6476.6,111,3
MTN-00233,2026-02-10,EQ-0083,TECH-033,ECUST-0233,ERP-00233,Corrective Maintenance,Cancelled,Technician note for EQ-0083 on 2026-02-10.,AI summary: Corrective Maintenance on EQ-0083.,0.593,974.03,194,3
