id,job,marital,education,age,balance,housing,loan,c_default,contact,month,day,duration,campaign,previous,poutcome,pdays,y
642,blue-collar,divorced,tertiary,34,2885.48,no,no,yes,unknown,jun,23,613,3,1,other,148,no
643,self-employed,single,primary,28,-169.91,yes,no,yes,telephone,aug,11,730,19,1,failure,-1,no
644,admin.,divorced,secondary,71,16730.84,yes,yes,yes,cellular,sep,11,718,3,8,failure,55,no
645,admin.,single,secondary,18,41770.92,no,yes,yes,unknown,may,3,1727,16,0,other,-1,no
646,services,married,tertiary,61,27606.0,yes,yes,yes,unknown,feb,25,1708,19,8,success,-1,no
647,admin.,divorced,secondary,24,47318.19,yes,no,no,unknown,jun,28,844,14,9,success,379,no
648,admin.,divorced,unknown,18,391.94,no,no,yes,telephone,apr,13,948,1,5,unknown,38,no
649,admin.,divorced,tertiary,72,28433.32,yes,yes,no,unknown,may,11,55,19,7,unknown,239,no
650,blue-collar,divorced,primary,52,49238.39,yes,no,yes,unknown,feb,3,240,11,9,other,30,no
651,unemployed,divorced,secondary,38,11575.87,yes,no,no,cellular,oct,24,1164,9,10,failure,-1,no
652,management,divorced,primary,49,32944.67,no,no,no,cellular,may,2,858,11,9,other,-1,no
653,blue-collar,married,primary,61,16244.27,yes,yes,yes,unknown,jul,4,1815,2,3,other,31,yes
654,management,divorced,unknown,62,4342.13,no,yes,no,telephone,mar,14,342,19,4,failure,-1,no
655,retired,married,primary,78,1435.77,no,yes,yes,unknown,jun,24,1161,1,5,failure,171,no
656,housemaid,divorced,unknown,19,43013.78,yes,no,no,cellular,apr,11,1725,9,8,success,-1,no
657,management,divorced,primary,54,12699.38,no,yes,no,telephone,mar,12,590,8,7,failure,248,yes
658,student,married,tertiary,51,38413.75,yes,yes,no,telephone,may,2,180,15,1,other,89,no
659,housemaid,divorced,primary,25,49049.07,no,no,no,unknown,jan,4,1555,4,10,success,264,no
660,self-employed,married,unknown,80,34916.45,yes,no,no,cellular,feb,26,381,18,1,other,377,yes
661,retired,single,secondary,79,36038.84,no,yes,no,cellular,mar,7,72,20,0,other,150,no
662,management,single,unknown,94,25809.48,yes,no,yes,telephone,oct,11,260,8,3,failure,325,no
663,unknown,single,unknown,31,24054.98,no,no,yes,unknown,oct,22,560,10,4,other,234,no
664,services,married,primary,77,43747.65,yes,no,no,telephone,mar,13,1642,14,2,other,180,no
665,management,single,unknown,47,7954.7,no,no,yes,telephone,jan,18,1580,3,0,failure,-1,yes
666,self-employed,married,primary,90,38422.15,yes,no,no,telephone,oct,20,908,11,4,failure,272,no
667,blue-collar,divorced,tertiary,78,10993.41,no,no,no,telephone,mar,24,300,14,8,failure,-1,no
668,unemployed,divorced,secondary,92,7132.85,no,no,no,unknown,dec,17,391,6,2,unknown,61,no
669,management,married,secondary,86,48073.92,no,yes,yes,unknown,jun,13,383,13,0,success,105,no
670,blue-collar,divorced,tertiary,24,9416.93,no,no,no,telephone,jul,14,449,14,5,success,-1,no
671,retired,divorced,secondary,35,28798.84,yes,no,yes,unknown,jun,11,738,20,10,other,299,no
672,self-employed,married,unknown,93,10969.74,yes,no,yes,telephone,may,19,1501,5,8,other,323,no
673,unemployed,married,primary,45,8995.03,yes,yes,no,unknown,feb,9,1326,17,0,failure,186,no
674,services,single,secondary,59,30249.03,yes,no,yes,unknown,dec,23,178,19,6,other,255,no
675,entrepreneur,divorced,tertiary,27,16459.71,no,no,no,cellular,feb,5,1264,1,6,unknown,17,yes
676,admin.,single,secondary,22,36134.35,yes,no,no,cellular,sep,27,1683,16,6,success,-1,no
677,housemaid,married,unknown,88,15912.07,yes,yes,no,cellular,nov,24,1492,11,10,success,-1,no
678,services,divorced,secondary,54,21716.15,no,no,no,telephone,jun,25,1456,16,2,unknown,-1,no
679,unemployed,single,primary,76,23634.62,no,yes,yes,telephone,nov,24,1293,19,8,success,-1,no
680,admin.,divorced,primary,53,16003.21,yes,no,no,cellular,feb,17,1892,3,6,success,317,no
681,admin.,divorced,primary,78,35146.02,yes,no,no,cellular,may,20,489,10,5,unknown,-1,no
682,student,married,primary,51,29663.14,yes,yes,no,telephone,dec,9,551,5,4,failure,-1,no
683,housemaid,married,primary,74,38075.72,no,no,no,unknown,aug,6,322,9,3,unknown,58,no
684,housemaid,single,primary,57,29291.99,yes,yes,no,cellular,nov,23,1956,20,10,success,307,yes
685,unemployed,single,primary,67,5053.64,no,yes,no,telephone,may,18,391,8,3,unknown,-1,no
686,unknown,divorced,secondary,30,-86.82,no,yes,no,cellular,jul,13,328,5,9,failure,-1,no
687,entrepreneur,single,secondary,89,2051.93,no,no,yes,cellular,apr,2,517,10,7,other,121,no
688,housemaid,married,tertiary,36,32526.84,yes,yes,yes,cellular,jul,7,1259,7,9,other,187,yes
689,retired,single,tertiary,92,10114.8,no,no,yes,cellular,jan,12,582,17,1,failure,128,no
690,self-employed,single,tertiary,58,23019.39,no,yes,no,cellular,oct,25,1158,5,5,other,-1,no
691,services,single,tertiary,95,34061.65,yes,no,yes,unknown,jul,21,1404,19,8,unknown,-1,no
692,housemaid,divorced,unknown,76,27920.04,yes,yes,yes,cellular,jun,1,602,19,5,other,-1,no
693,management,married,unknown,32,44905.21,yes,yes,no,cellular,may,1,1278,4,1,other,23,no
694,entrepreneur,divorced,unknown,35,21076.5,yes,no,no,telephone,jun,5,1385,8,7,success,358,no
695,student,divorced,tertiary,32,35604.85,yes,no,no,cellular,feb,14,672,14,10,success,27,no
696,housemaid,divorced,primary,86,26527.27,no,yes,yes,unknown,jun,18,276,17,4,other,-1,no
697,blue-collar,married,tertiary,48,34862.91,yes,no,no,cellular,jun,8,1950,12,5,success,-1,no
698,admin.,divorced,secondary,22,17568.88,no,no,no,telephone,nov,23,1798,13,7,failure,338,no
699,retired,single,secondary,20,46649.76,no,no,yes,unknown,oct,3,1599,20,0,success,103,no
700,self-employed,divorced,secondary,81,38579.17,yes,yes,no,telephone,jan,4,1260,2,1,success,56,no
701,management,divorced,primary,92,15963.98,no,no,no,telephone,aug,28,1419,14,5,unknown,-1,no
702,services,single,secondary,40,29429.46,no,yes,no,telephone,oct,9,38,1,4,success,-1,no
703,self-employed,divorced,primary,68,48583.65,yes,yes,yes,cellular,sep,8,137,11,5,success,194,no
704,admin.,single,unknown,76,33762.5,no,no,yes,cellular,feb,20,1599,2,0,other,292,no
705,technician,married,secondary,35,3100.38,yes,yes,yes,telephone,jul,3,323,10,4,failure,-1,no
706,technician,married,unknown,73,1176.85,no,yes,yes,cellular,mar,9,648,12,8,success,273,no
707,unemployed,married,secondary,47,28009.0,yes,yes,no,telephone,mar,7,482,2,7,success,201,no
708,management,single,tertiary,42,35473.19,no,yes,yes,unknown,may,17,1123,2,6,failure,237,no
709,unemployed,divorced,secondary,34,6891.54,no,yes,no,cellular,nov,3,963,9,10,other,323,no
710,self-employed,married,primary,78,15762.0,no,no,yes,unknown,jun,13,1286,12,6,success,-1,no
711,unknown,divorced,unknown,28,16296.36,yes,no,yes,cellular,aug,1,137,18,9,unknown,73,no
712,services,divorced,unknown,50,3326.24,no,yes,yes,telephone,mar,1,1068,4,7,unknown,119,yes
713,unknown,married,primary,22,4567.44,no,yes,yes,telephone,feb,24,1592,12,6,unknown,-1,no
714,management,divorced,unknown,80,996.51,yes,no,yes,unknown,apr,24,818,2,3,unknown,57,no
715,unknown,single,unknown,29,9449.83,yes,no,no,unknown,jul,28,891,16,6,other,378,no
716,blue-collar,divorced,unknown,34,32256.84,no,yes,yes,telephone,sep,7,1417,6,1,other,-1,no
717,unemployed,married,primary,89,18977.94,yes,yes,yes,unknown,dec,4,384,9,7,unknown,350,no
718,management,divorced,unknown,48,28722.01,yes,no,no,cellular,jan,24,1254,13,4,failure,-1,no
719,admin.,divorced,secondary,92,45633.55,yes,yes,no,unknown,oct,21,1016,5,3,unknown,126,no
720,housemaid,single,unknown,31,35329.55,yes,yes,no,unknown,jul,18,982,6,4,success,-1,no
721,entrepreneur,divorced,unknown,72,21895.02,no,yes,yes,cellular,sep,3,576,1,4,failure,228,no
722,student,single,unknown,74,991.57,yes,yes,yes,unknown,nov,28,11,18,5,unknown,35,no
723,admin.,divorced,primary,32,40731.48,no,yes,yes,cellular,jan,12,1366,9,7,unknown,-1,yes
724,blue-collar,divorced,primary,45,39437.57,yes,no,no,cellular,aug,3,578,1,6,other,-1,no
725,blue-collar,single,unknown,70,33137.75,no,no,yes,telephone,apr,26,894,4,9,unknown,194,no
726,student,married,secondary,47,2385.27,no,yes,no,unknown,sep,2,1090,18,6,unknown,190,no
727,admin.,divorced,secondary,38,-1014.52,no,yes,no,cellular,sep,4,1812,5,7,unknown,-1,yes
728,unemployed,married,tertiary,80,43580.16,no,yes,no,unknown,sep,11,1507,7,3,unknown,336,no
729,self-employed,married,primary,69,44829.91,yes,yes,yes,cellular,jan,1,593,6,0,unknown,-1,yes
730,entrepreneur,married,tertiary,40,34416.99,yes,no,yes,telephone,may,28,1094,1,7,unknown,61,no
731,services,divorced,secondary,74,48120.47,yes,yes,no,unknown,mar,13,1742,10,3,other,193,no
732,unemployed,married,unknown,25,9520.77,no,yes,no,telephone,jan,9,1829,10,5,other,213,yes
733,technician,married,unknown,79,40657.64,yes,no,no,cellular,may,23,1546,7,6,other,309,no
734,blue-collar,married,unknown,29,29566.6,no,no,yes,cellular,feb,15,1360,20,4,other,325,no
735,unknown,married,primary,81,10250.19,yes,no,yes,cellular,may,21,498,5,2,unknown,107,no
736,student,divorced,unknown,79,32727.36,yes,no,yes,telephone,apr,27,1899,3,5,success,381,no
737,services,divorced,primary,35,48993.69,yes,no,yes,telephone,jun,22,274,5,2,other,217,no
738,unemployed,divorced,tertiary,62,14096.64,yes,yes,no,cellular,oct,26,1057,5,5,other,-1,no
739,admin.,divorced,unknown,80,-826.47,no,yes,yes,cellular,nov,10,1533,16,2,success,161,no
740,housemaid,single,unknown,93,7895.88,no,yes,no,cellular,jun,3,311,15,10,other,-1,no
741,student,single,tertiary,70,30758.25,yes,no,no,telephone,dec,21,715,7,5,failure,-1,no
742,retired,divorced,primary,44,18123.99,no,yes,yes,telephone,dec,4,212,5,7,failure,-1,no
743,student,single,tertiary,39,46762.88,no,no,no,telephone,apr,26,698,2,7,other,58,no
744,student,single,secondary,42,12727.2,no,yes,yes,cellular,apr,2,561,15,9,other,318,yes
745,blue-collar,married,primary,71,25930.99,no,yes,no,cellular,apr,3,890,10,2,success,108,no
746,housemaid,married,unknown,67,10574.72,yes,yes,no,telephone,nov,4,1636,16,3,success,-1,yes
747,admin.,divorced,secondary,19,36679.24,yes,yes,no,cellular,jan,6,1881,14,1,other,125,no
748,entrepreneur,married,unknown,38,21829.95,no,no,yes,telephone,nov,1,1066,7,7,failure,34,no
749,unknown,divorced,tertiary,67,20033.67,no,no,yes,telephone,mar,6,1196,16,0,failure,100,no
750,management,divorced,tertiary,48,26146.12,yes,yes,yes,unknown,jul,8,746,15,7,failure,167,no
751,technician,divorced,secondary,85,11369.38,no,yes,no,unknown,jun,16,794,12,7,failure,373,no
752,management,single,unknown,84,18334.47,yes,no,yes,unknown,may,2,1494,15,9,failure,115,no
753,technician,married,unknown,86,19576.38,yes,yes,yes,cellular,apr,25,418,14,1,failure,350,no
754,student,married,unknown,94,47527.42,no,no,yes,cellular,jul,9,1960,8,0,other,-1,no
755,unemployed,married,unknown,28,33884.84,no,no,no,unknown,nov,5,1282,10,3,success,237,no
756,blue-collar,married,tertiary,59,-1756.14,no,no,no,cellular,aug,22,704,7,8,failure,33,yes
757,unemployed,divorced,primary,19,1162.42,no,no,no,telephone,oct,11,1837,3,0,unknown,281,no
758,retired,divorced,primary,29,5686.31,no,no,yes,telephone,feb,27,1947,13,10,failure,361,yes
759,self-employed,divorced,unknown,40,38703.12,no,yes,no,unknown,dec,4,443,12,4,failure,207,no
760,management,married,tertiary,18,22589.56,no,yes,no,cellular,nov,3,641,15,1,other,-1,no
761,retired,single,tertiary,34,41543.11,no,yes,no,unknown,sep,12,1010,5,9,other,-1,no
762,unknown,divorced,primary,54,16234.07,no,no,no,cellular,mar,10,427,13,5,other,355,no
763,self-employed,divorced,tertiary,80,26237.64,no,no,yes,telephone,oct,18,1837,12,1,unknown,132,no
764,unknown,married,tertiary,55,21185.9,yes,yes,no,cellular,sep,4,260,1,3,failure,267,no
765,self-employed,single,tertiary,79,17105.02,no,yes,no,telephone,aug,17,1306,10,7,success,345,no
766,blue-collar,single,secondary,75,11941.78,yes,yes,no,cellular,dec,21,155,6,6,unknown,-1,no
767,admin.,single,tertiary,58,6835.4,yes,no,yes,cellular,dec,13,420,9,3,failure,-1,no
768,entrepreneur,married,secondary,22,14167.25,no,no,yes,telephone,aug,11,762,16,4,unknown,129,yes
769,unknown,single,secondary,52,20597.6,no,no,yes,cellular,aug,19,1327,13,4,success,-1,no
770,student,divorced,tertiary,47,286.86,no,yes,no,telephone,may,6,102,3,0,other,-1,no
771,unemployed,divorced,secondary,57,31306.75,no,yes,yes,telephone,jun,6,1168,15,4,failure,9,no
772,self-employed,divorced,tertiary,82,6412.85,yes,yes,no,cellular,aug,24,1025,2,9,success,-1,no
773,retired,divorced,secondary,33,33786.12,yes,yes,no,telephone,oct,19,788,3,0,success,-1,no
774,management,divorced,secondary,81,15086.0,no,yes,yes,cellular,oct,20,1804,2,5,failure,-1,no
775,unknown,married,secondary,72,15306.54,yes,no,no,cellular,feb,28,1292,3,4,unknown,306,no
776,services,divorced,tertiary,50,868.79,no,yes,no,cellular,aug,11,459,6,6,failure,350,no
777,admin.,divorced,secondary,94,13233.89,yes,no,yes,cellular,jun,27,276,13,8,failure,20,no
778,admin.,divorced,primary,80,17654.57,no,no,no,cellular,jun,7,926,15,9,other,129,no
779,blue-collar,divorced,unknown,28,36283.62,no,yes,no,telephone,oct,8,681,1,9,failure,338,no
780,services,divorced,secondary,46,23166.24,yes,no,yes,telephone,dec,20,395,10,4,failure,136,no
781,services,divorced,primary,83,24912.85,no,yes,no,telephone,jul,26,445,17,2,success,352,no
782,entrepreneur,single,tertiary,19,23635.43,yes,no,yes,unknown,sep,1,526,2,9,success,-1,no
783,retired,divorced,unknown,28,37568.96,yes,yes,no,cellular,nov,13,1297,8,6,success,141,no
784,admin.,married,secondary,32,41574.29,yes,yes,yes,unknown,apr,23,1408,10,9,failure,137,no
785,admin.,married,primary,65,20879.51,no,yes,no,cellular,oct,17,1462,2,9,success,123,no
786,self-employed,married,tertiary,34,38066.5,no,yes,yes,telephone,jan,13,1251,17,7,failure,-1,no
787,services,divorced,primary,34,-669.71,yes,no,no,unknown,sep,27,842,19,4,other,345,no
788,unemployed,married,unknown,40,12576.66,no,yes,no,telephone,apr,16,1912,20,9,success,125,no
789,services,single,primary,32,29856.43,yes,yes,yes,cellular,jan,20,1813,1,7,failure,142,no
790,unknown,single,tertiary,64,26870.16,no,no,no,cellular,jun,28,1495,18,0,success,-1,no
791,unknown,divorced,primary,61,30942.24,yes,yes,yes,unknown,jan,5,1149,11,3,unknown,127,no
792,housemaid,divorced,tertiary,84,911.47,no,no,yes,cellular,jun,22,1857,9,2,other,-1,yes
793,blue-collar,married,tertiary,37,46912.64,no,yes,yes,unknown,oct,12,222,5,4,unknown,-1,no
794,retired,divorced,primary,42,7505.83,no,yes,no,telephone,nov,7,326,18,5,other,364,no
795,retired,divorced,unknown,29,1034.8,yes,yes,no,telephone,jul,2,1139,7,7,failure,-1,no
796,retired,single,secondary,62,45150.4,no,no,no,unknown,aug,19,809,18,0,other,-1,no
797,unknown,single,unknown,58,509.24,no,yes,yes,telephone,jul,15,367,11,7,success,9,no
798,admin.,single,secondary,38,11639.1,yes,no,no,cellular,nov,4,200,16,8,success,378,no
799,admin.,divorced,primary,73,1518.84,no,yes,yes,cellular,jan,18,1584,6,1,success,-1,no
800,technician,married,tertiary,62,16901.6,no,no,no,telephone,nov,3,712,13,5,success,-1,no
801,housemaid,divorced,primary,78,39743.15,yes,no,yes,cellular,apr,13,1165,20,9,other,306,no
802,self-employed,single,secondary,88,36260.27,no,no,yes,unknown,jun,24,1790,9,10,unknown,310,no
803,retired,single,unknown,62,32321.81,yes,yes,no,cellular,aug,12,1645,8,8,failure,-1,no
804,self-employed,single,primary,46,36510.37,yes,no,no,cellular,jul,9,274,5,3,other,93,no
805,unknown,divorced,unknown,60,49868.56,no,yes,no,unknown,sep,24,471,8,5,success,112,no
806,housemaid,married,secondary,95,33215.04,no,no,yes,cellular,mar,4,1315,8,5,unknown,-1,yes
807,housemaid,married,unknown,71,28793.72,yes,yes,no,telephone,sep,26,1262,6,10,other,296,no
808,admin.,divorced,tertiary,28,39737.63,yes,yes,no,cellular,jun,6,1180,5,10,success,-1,no
809,unknown,divorced,tertiary,60,20338.25,no,yes,yes,cellular,aug,12,1765,15,4,other,-1,no
810,self-employed,divorced,unknown,64,13424.59,yes,yes,yes,unknown,sep,9,1160,12,5,unknown,330,no
811,self-employed,divorced,unknown,39,8809.12,no,no,no,cellular,sep,28,1970,7,0,success,-1,no
812,entrepreneur,single,tertiary,23,10570.3,no,no,no,telephone,aug,2,165,19,9,unknown,351,yes
813,services,divorced,tertiary,67,24063.7,yes,no,no,telephone,feb,17,189,3,5,unknown,67,no
814,technician,married,secondary,71,39635.84,yes,yes,yes,telephone,oct,4,1112,13,5,failure,-1,no
815,unemployed,divorced,primary,21,35233.94,yes,no,no,telephone,sep,13,1191,1,9,other,19,no
816,services,divorced,unknown,65,27384.78,no,no,yes,cellular,dec,7,201,16,4,failure,-1,no
817,retired,married,tertiary,45,29052.74,no,no,no,unknown,aug,1,613,14,8,other,164,no
818,housemaid,married,secondary,27,25311.11,yes,yes,no,telephone,jun,15,1291,14,6,other,-1,no
819,unknown,single,primary,39,9094.88,no,no,yes,telephone,jul,12,892,7,1,success,262,no
820,services,divorced,tertiary,25,21746.9,yes,yes,no,telephone,sep,22,1894,4,2,other,2,yes
821,management,divorced,tertiary,30,39844.7,yes,yes,yes,telephone,oct,24,587,9,3,other,358,no
822,self-employed,single,tertiary,73,32310.86,no,yes,yes,unknown,may,11,1904,17,8,unknown,252,no
823,unknown,married,secondary,89,34814.88,no,yes,no,unknown,may,12,31,13,5,failure,122,no
824,entrepreneur,married,primary,28,18910.65,no,no,no,telephone,sep,25,321,20,5,success,171,no
825,admin.,single,unknown,39,31740.61,no,no,no,unknown,jan,16,1053,3,5,other,201,no
826,blue-collar,single,primary,43,-1369.82,yes,no,yes,unknown,mar,12,1796,3,3,unknown,-1,no
827,admin.,divorced,unknown,46,14137.17,yes,yes,yes,cellular,jul,21,1866,9,5,success,33,no
828,student,married,unknown,56,39987.01,yes,no,no,telephone,apr,18,572,6,9,success,178,no
829,admin.,divorced,secondary,71,39584.75,no,no,yes,telephone,oct,9,1190,18,6,failure,5,no
830,retired,divorced,tertiary,23,8213.65,no,yes,no,unknown,mar,9,976,5,6,other,36,no
831,student,divorced,primary,19,-913.42,no,no,yes,unknown,mar,6,1820,15,4,failure,-1,no
832,entrepreneur,single,tertiary,36,37207.38,yes,no,yes,telephone,feb,18,989,9,3,failure,-1,no
833,unemployed,divorced,tertiary,45,23565.7,no,no,no,telephone,nov,12,548,16,0,other,67,yes
834,unemployed,single,secondary,45,9203.02,yes,yes,no,cellular,aug,9,467,10,9,other,-1,no
835,management,divorced,secondary,47,43549.63,yes,yes,no,cellular,jun,3,1743,8,8,failure,-1,no
836,unknown,divorced,primary,25,9734.63,yes,no,yes,unknown,nov,19,561,3,10,failure,260,no
837,unemployed,single,secondary,63,21420.76,yes,no,yes,telephone,feb,25,1857,1,6,unknown,219,no
838,services,divorced,unknown,47,15714.82,no,no,no,unknown,sep,24,1967,11,2,other,276,no
839,retired,married,tertiary,58,30530.83,yes,yes,no,telephone,sep,12,1991,4,8,success,-1,no
840,unknown,divorced,primary,94,19162.04,yes,yes,yes,telephone,apr,8,338,12,2,other,216,yes
841,unemployed,married,tertiary,84,-139.77,no,no,yes,cellular,jan,12,501,6,4,other,-1,no
842,technician,divorced,secondary,39,14623.7,no,yes,no,cellular,jul,17,796,14,5,other,318,no
843,retired,single,tertiary,20,47202.32,no,yes,yes,telephone,oct,1,579,2,10,failure,-1,no
844,retired,single,unknown,70,19697.84,no,no,no,unknown,jul,3,1874,11,6,success,-1,no
845,services,married,unknown,44,31974.62,no,no,no,cellular,nov,24,5,17,10,other,4,no
846,management,divorced,primary,27,-842.33,yes,no,yes,cellular,jan,26,1214,2,8,other,355,no
847,blue-collar,married,tertiary,51,43440.61,no,yes,yes,cellular,oct,15,400,11,7,unknown,-1,no
848,unemployed,married,secondary,74,33578.86,yes,no,no,cellular,sep,7,1170,6,1,other,343,no
849,unknown,divorced,primary,89,18410.25,yes,yes,no,cellular,aug,18,1784,11,3,other,328,no
850,unemployed,single,primary,38,26682.5,yes,yes,no,cellular,nov,10,1034,19,1,failure,-1,no
851,unknown,married,primary,80,-1199.29,yes,no,yes,unknown,nov,3,1027,4,0,unknown,-1,no
852,unknown,married,tertiary,75,45055.72,no,no,yes,unknown,jul,2,1289,5,10,unknown,226,no
853,retired,married,secondary,24,33823.56,no,yes,no,unknown,nov,26,1605,2,8,failure,-1,yes
854,unemployed,married,secondary,24,15968.22,no,no,no,unknown,apr,9,1059,6,0,success,287,no
855,unemployed,single,tertiary,37,14376.36,yes,yes,no,telephone,may,20,744,5,3,unknown,233,yes
856,services,married,tertiary,61,12646.82,yes,no,no,unknown,sep,17,365,14,0,failure,-1,no
857,admin.,divorced,secondary,46,45204.09,yes,no,yes,cellular,sep,2,1491,10,8,other,-1,no
858,blue-collar,single,unknown,50,-1044.17,no,no,no,unknown,jan,13,1950,13,4,unknown,-1,no
859,entrepreneur,divorced,unknown,70,30309.53,yes,no,no,unknown,may,6,989,11,8,unknown,-1,yes
860,technician,divorced,primary,82,25870.16,no,no,no,telephone,apr,22,1153,17,8,success,49,no
861,technician,divorced,unknown,22,37350.33,yes,yes,no,unknown,may,24,915,16,0,unknown,96,no
862,blue-collar,divorced,primary,78,26253.77,yes,yes,yes,cellular,jul,7,729,18,10,success,-1,no
863,retired,divorced,unknown,78,48091.54,no,yes,no,telephone,oct,7,1710,18,5,success,-1,no
864,blue-collar,married,primary,81,8629.24,no,no,no,unknown,may,6,512,10,0,failure,249,no
865,unknown,married,primary,75,18307.95,no,yes,no,cellular,jan,16,1342,16,8,unknown,8,yes
866,technician,single,tertiary,86,18903.88,no,no,no,telephone,may,3,553,16,6,success,-1,no
867,management,divorced,unknown,70,49008.98,no,no,no,unknown,mar,4,392,18,3,failure,33,no
868,blue-collar,single,unknown,95,28562.87,no,no,yes,cellular,nov,23,1958,6,10,unknown,-1,no
869,unemployed,divorced,tertiary,41,26283.68,no,no,no,telephone,may,24,1974,5,8,other,-1,no
870,entrepreneur,single,secondary,60,7875.89,no,no,no,unknown,jul,10,744,5,3,unknown,338,no
871,technician,married,tertiary,44,12546.63,yes,yes,yes,unknown,nov,9,1347,8,0,unknown,105,yes
872,admin.,married,secondary,87,19542.62,no,no,yes,telephone,nov,2,106,12,5,success,-1,no
873,self-employed,divorced,tertiary,38,7297.46,no,no,no,telephone,jan,12,1965,4,10,other,151,no
874,entrepreneur,divorced,primary,21,15143.0,no,no,no,cellular,mar,25,952,7,10,success,367,no
875,self-employed,divorced,unknown,79,41945.75,yes,yes,no,cellular,jun,26,1018,8,10,success,241,yes
876,entrepreneur,divorced,secondary,19,36558.77,no,yes,no,telephone,oct,25,210,8,2,failure,184,no
877,technician,divorced,secondary,41,6248.98,yes,no,yes,cellular,feb,28,1169,1,9,other,293,no
878,retired,single,primary,44,23443.29,no,no,no,telephone,may,1,395,16,1,other,390,no
879,blue-collar,divorced,primary,27,48058.25,yes,no,no,unknown,apr,11,1464,7,1,success,203,no
880,retired,married,tertiary,45,36809.4,no,yes,yes,cellular,may,12,1910,1,1,other,43,no
881,student,married,unknown,39,47413.47,no,yes,yes,telephone,jul,25,1489,20,2,unknown,-1,no
882,self-employed,single,secondary,82,20386.17,yes,yes,no,cellular,oct,27,1345,19,8,failure,293,yes
883,student,single,tertiary,59,32876.07,no,no,no,cellular,may,21,257,9,10,other,-1,no
884,management,single,primary,41,21997.97,yes,no,yes,cellular,sep,22,119,19,5,failure,340,no
885,unknown,single,tertiary,41,37730.18,yes,yes,no,telephone,apr,18,1512,12,6,failure,-1,no
886,unemployed,divorced,tertiary,63,44476.96,yes,yes,no,cellular,jan,10,1767,18,5,failure,-1,yes
887,unknown,divorced,tertiary,85,26040.32,yes,no,no,telephone,sep,25,544,7,0,other,-1,no
888,services,married,secondary,67,37095.41,no,no,no,unknown,oct,6,1470,4,5,unknown,123,no
889,unemployed,divorced,unknown,67,32944.42,no,yes,yes,telephone,jul,15,520,9,5,success,-1,no
890,retired,married,primary,80,-1039.35,no,no,no,unknown,jun,14,392,19,10,unknown,108,no
891,self-employed,divorced,unknown,78,23324.88,yes,yes,yes,telephone,apr,5,136,18,9,unknown,-1,no
892,technician,single,tertiary,45,20873.28,yes,no,no,cellular,nov,3,1773,2,10,success,299,no
893,self-employed,single,unknown,71,23541.01,no,no,yes,unknown,jan,11,1009,19,8,unknown,95,no
894,student,married,unknown,31,29985.89,yes,yes,no,telephone,feb,15,1341,12,4,other,58,no
895,housemaid,single,tertiary,24,633.96,no,no,no,unknown,aug,24,1444,9,6,unknown,-1,no
896,entrepreneur,divorced,tertiary,83,3130.13,yes,yes,yes,cellular,jul,1,23,7,4,unknown,29,no
897,unemployed,married,primary,54,29501.59,yes,no,no,cellular,mar,1,184,10,8,other,40,yes
898,technician,single,unknown,48,37424.88,no,yes,yes,telephone,jul,27,1761,15,6,unknown,-1,no
899,housemaid,divorced,tertiary,60,35640.8,no,yes,no,cellular,sep,24,330,15,2,unknown,-1,yes
900,management,married,secondary,83,25827.09,yes,no,yes,cellular,jan,5,1292,18,10,unknown,161,no
901,student,divorced,secondary,71,45131.65,no,yes,yes,unknown,apr,19,641,1,8,other,134,no
902,management,divorced,tertiary,28,29474.53,no,yes,no,unknown,jun,9,1310,10,9,failure,-1,no
903,student,married,tertiary,82,8094.99,yes,no,yes,cellular,feb,16,1786,13,6,unknown,-1,no
904,blue-collar,divorced,tertiary,93,6347.75,yes,no,no,cellular,aug,18,436,9,9,other,-1,no
905,retired,divorced,secondary,21,48281.0,yes,no,no,telephone,jan,4,1333,17,2,other,-1,no
906,unemployed,married,unknown,66,32574.18,no,yes,yes,unknown,may,26,483,7,0,failure,379,no
907,unemployed,divorced,tertiary,63,12601.43,yes,yes,yes,unknown,jan,7,1557,19,2,unknown,212,no
908,retired,single,tertiary,27,31106.81,yes,no,yes,telephone,jan,6,664,6,4,unknown,-1,no
909,student,single,unknown,79,7940.9,yes,yes,no,cellular,oct,22,451,19,9,failure,142,no
910,student,single,tertiary,29,1513.43,no,no,yes,telephone,aug,12,1937,10,10,unknown,296,no
911,technician,single,unknown,37,26477.26,yes,no,yes,telephone,apr,22,1540,16,6,failure,-1,no
912,self-employed,divorced,unknown,72,48550.46,yes,yes,no,cellular,jan,5,987,13,9,unknown,291,no
913,blue-collar,married,secondary,45,10886.3,yes,yes,no,telephone,may,17,559,6,6,failure,-1,yes
914,unemployed,married,secondary,91,15762.56,yes,yes,yes,unknown,jun,18,1349,14,6,success,143,no
915,retired,divorced,secondary,84,9545.38,yes,no,no,unknown,oct,27,544,8,1,success,49,no
916,student,married,unknown,62,30294.99,yes,yes,yes,unknown,mar,10,151,2,9,failure,-1,no
917,unemployed,divorced,primary,38,46643.44,yes,no,no,cellular,jan,17,1602,5,0,failure,317,no
918,self-employed,single,tertiary,32,41681.0,yes,yes,yes,telephone,mar,18,220,3,10,success,-1,no
919,management,single,tertiary,38,-1568.92,no,no,no,unknown,oct,22,1360,14,0,other,41,no
920,unknown,divorced,primary,30,32724.86,yes,yes,yes,cellular,sep,12,821,20,5,other,-1,no
