performance_id,customer_id,institution_id,product_type,avg_risk_score,risk_score_volatility,risk_trend,risk_trend_percentage,avg_fraud_probability,anomaly_percentage,risk_assessment_accuracy,approval_percentage,most_common_recommendation,avg_monthly_transaction_volume,total_transaction_volume,transaction_volatility,total_exposure,risk_adjusted_return,customer_value_score,customer_value_category,optimization_opportunity,optimization_priority
129,CUST-C0208,INST-013,Mortgage,0.9396,0.2413,Stable,2.2706,0.1777,13.1742,78.3998,51.0369,Deny,39745.4,251680.13,0.6413,2188.83,0.1384,77,Gold,Cross-sell,Low
130,CUST-C0181,INST-005,Mortgage,0.7365,0.2808,Improving,-1.3935,0.1466,6.9835,84.418,56.741,Deny,43272.06,17353.17,0.3423,411992.51,-0.04,114,Gold,None,Medium
131,CUST-C0181,INST-004,Credit Card,0.6705,0.2882,Improving,-8.0587,0.026,4.1576,67.5421,43.1147,Approve,26747.67,140011.2,0.5913,3969770.5,0.096,137,Gold,Retention,Medium
132,CUST-C0080,INST-004,Personal Loan,0.1955,0.1311,Improving,-0.5519,0.0148,14.5806,82.0637,68.5628,Approve,29735.69,157576.4,0.5983,4037768.66,0.1723,80,Gold,Upsell,Medium
133,CUST-C0006,INST-010,Mortgage,0.8812,0.2869,Improving,8.2581,0.1463,4.1651,96.9902,87.4284,Approve with Conditions,18498.92,320683.59,0.9378,3446400.27,0.0744,108,Platinum,None,Medium
134,CUST-C0045,INST-011,Credit Card,0.2819,0.2805,Stable,0.7192,0.0783,0.5249,95.0677,63.3603,Approve with Conditions,38087.15,445727.05,0.8478,360056.8,-0.0868,107,Platinum,Cross-sell,Medium
135,CUST-C0069,INST-009,Credit Card,0.4249,0.2227,Stable,4.7396,0.1363,2.5702,64.725,61.5209,Approve with Conditions,45595.4,333105.69,0.9386,3196713.97,-0.0796,97,Platinum,Retention,High
136,CUST-C0232,INST-020,Personal Loan,0.244,0.0115,Stable,6.9133,0.1874,7.9722,89.7788,73.7054,Approve with Conditions,39122.48,375782.07,0.1411,8024.89,0.1915,35,Gold,Retention,Medium
137,CUST-C0176,INST-019,Personal Loan,0.7594,0.0056,Stable,9.2335,0.1908,8.9537,85.3696,52.0327,Deny,48810.32,40575.51,0.5461,1631207.52,0.2705,65,Platinum,Cross-sell,Medium
138,CUST-C0154,INST-003,Line of Credit,0.7546,0.0698,Stable,-7.0338,0.1591,3.2933,67.1441,69.7636,Deny,4659.8,140433.42,0.7629,37975.26,0.2418,43,Gold,Cross-sell,Medium
139,CUST-C0018,INST-011,Line of Credit,0.7208,0.1611,Improving,5.1594,0.1298,6.0876,66.1291,74.4058,Approve with Conditions,2364.52,67852.21,0.8665,3408956.17,-0.0491,113,Gold,Retention,High
140,CUST-C0174,INST-015,Personal Loan,0.2927,0.0854,Stable,6.21,0.0704,1.068,80.6961,74.6046,Deny,26056.67,20999.55,0.1743,462202.84,0.0104,134,Platinum,Cross-sell,Medium
141,CUST-C0132,INST-020,Mortgage,0.3496,0.0034,Stable,-8.3096,0.0112,13.7379,95.0871,52.6719,Deny,25745.75,22141.92,0.7343,38032.39,0.2222,76,Bronze,Upsell,High
142,CUST-C0165,INST-009,Mortgage,0.7903,0.2794,Worsening,-7.497,0.0283,7.6426,98.0286,54.0622,Approve with Conditions,7290.11,91040.13,0.6029,2964589.75,-0.0854,74,Bronze,Cross-sell,High
143,CUST-C0157,INST-014,Mortgage,0.1164,0.004,Improving,-7.4246,0.1047,4.3511,84.1445,54.712,Approve,22265.83,310102.6,0.1835,2198895.68,0.1186,33,Gold,None,Medium
144,CUST-C0121,INST-001,Credit Card,0.8487,0.1171,Worsening,0.7997,0.1423,4.6973,67.2584,64.8039,Approve with Conditions,5303.86,334277.67,0.2909,4610.15,0.1696,84,Bronze,None,High
145,CUST-C0042,INST-001,Line of Credit,0.3214,0.0742,Stable,6.2794,0.1825,14.7369,96.1601,48.5328,Approve,44089.21,405390.81,0.8437,4050166.89,0.2196,76,Platinum,Upsell,Medium
146,CUST-C0207,INST-017,Line of Credit,0.7911,0.0753,Improving,0.2534,0.1026,0.4534,85.0448,72.6237,Approve,18132.48,366858.29,0.1436,1726.85,-0.0053,31,Gold,Retention,Medium
147,CUST-C0053,INST-010,Line of Credit,0.8396,0.2612,Worsening,-1.6666,0.1522,3.8708,63.5092,47.8157,Approve,18467.44,224030.11,0.3106,271302.19,0.0685,43,Silver,Retention,Low
148,CUST-C0125,INST-015,Business Loan,0.1628,0.0916,Stable,-5.7217,0.0371,9.6678,61.3839,47.3451,Deny,37775.54,207773.71,0.6153,2378071.68,0.2419,130,Silver,Cross-sell,Medium
149,CUST-C0035,INST-011,Personal Loan,0.5571,0.2769,Improving,-9.8883,0.0605,8.0111,62.281,83.8533,Approve,30414.48,311684.84,0.3527,2607.18,0.2893,50,Bronze,Retention,Medium
150,CUST-C0112,INST-016,Personal Loan,0.7203,0.1016,Worsening,9.2391,0.08,6.9376,70.8484,77.8028,Deny,42431.36,44019.61,0.7237,4636570.87,-0.0277,26,Gold,None,High
151,CUST-C0019,INST-010,Line of Credit,0.7135,0.1858,Improving,-7.1751,0.1512,3.408,90.7251,57.7394,Deny,2172.22,82716.16,0.553,64755.46,0.1147,22,Gold,Cross-sell,Low
152,CUST-C0216,INST-001,Line of Credit,0.3757,0.1578,Stable,-3.9096,0.1954,12.299,75.4247,52.6388,Approve with Conditions,41864.0,79608.07,0.6855,3059907.97,0.2799,139,Silver,Cross-sell,Medium
153,CUST-C0246,INST-015,Line of Credit,0.5372,0.0721,Worsening,-8.1396,0.1229,14.0933,60.8882,77.5654,Approve,22076.97,125983.49,0.3834,2747268.61,-0.0733,147,Bronze,Retention,Low
154,CUST-C0112,INST-018,Personal Loan,0.9631,0.2503,Worsening,-8.8754,0.1563,12.8447,86.9472,76.811,Deny,2730.82,140276.96,0.7304,6342.25,0.0541,128,Silver,Retention,Medium
155,CUST-C0236,INST-012,Line of Credit,0.2717,0.1659,Worsening,-8.4446,0.0121,8.7224,68.1551,43.194,Approve with Conditions,30632.03,111590.79,0.6196,94901.08,-0.0286,152,Gold,Cross-sell,High
156,CUST-C0122,INST-001,Mortgage,0.9503,0.0382,Worsening,3.4365,0.0659,3.665,62.0828,89.4648,Approve,28885.7,222642.38,0.6172,222523.09,-0.0544,95,Silver,Retention,Low
157,CUST-C0097,INST-003,Mortgage,0.154,0.2088,Stable,-2.0392,0.1254,11.6227,66.4032,76.9835,Approve,44936.44,208119.06,0.1037,4072.74,0.0698,99,Platinum,Upsell,High
158,CUST-C0061,INST-016,Line of Credit,0.8399,0.1478,Improving,4.0019,0.1161,5.11,69.1115,95.2186,Approve with Conditions,10703.89,396361.96,0.1154,836505.1,0.121,33,Silver,Upsell,High
159,CUST-C0011,INST-013,Business Loan,0.2374,0.172,Stable,8.8999,0.1804,6.5686,76.0417,87.9208,Approve,16703.12,185672.58,0.3103,42195.99,0.0798,102,Gold,Retention,Medium
160,CUST-C0122,INST-018,Business Loan,0.8271,0.155,Improving,-3.775,0.1537,14.3354,84.0673,79.5569,Deny,47450.94,480043.76,0.2535,3080020.57,-0.0057,27,Bronze,None,Medium
161,CUST-C0101,INST-005,Personal Loan,0.032,0.0655,Worsening,1.7385,0.1405,6.9806,96.1209,74.4752,Approve,12193.64,296250.3,0.4534,128030.8,0.1636,46,Gold,Upsell,Medium
162,CUST-C0184,INST-001,Business Loan,0.8382,0.0677,Worsening,-1.2436,0.1818,13.531,61.3899,73.9785,Deny,1444.67,222256.56,0.3987,63720.31,0.0457,105,Silver,Upsell,Low
163,CUST-C0034,INST-009,Personal Loan,0.9291,0.1904,Stable,0.7002,0.1058,8.2964,66.4285,42.2484,Approve with Conditions,18399.76,402159.59,0.7802,82072.23,0.0465,142,Platinum,None,Medium
164,CUST-C0244,INST-002,Credit Card,0.6111,0.1928,Stable,-5.1473,0.0173,9.2563,75.1915,84.6631,Approve with Conditions,11746.15,330419.18,0.9949,2460.12,0.2875,143,Gold,Cross-sell,Low
165,CUST-C0057,INST-011,Line of Credit,0.4025,0.1987,Improving,-5.3368,0.1229,11.486,85.177,83.4111,Approve,43409.35,121332.33,0.9613,7430.73,0.1603,139,Platinum,Upsell,Medium
166,CUST-C0157,INST-012,Personal Loan,0.5454,0.227,Worsening,4.2844,0.0677,2.4086,89.6909,90.8614,Approve with Conditions,19612.89,22760.4,0.508,6656.76,0.2469,67,Silver,Cross-sell,High
167,CUST-C0210,INST-010,Personal Loan,0.8268,0.2778,Worsening,6.0266,0.0482,5.5819,64.4962,83.964,Approve with Conditions,18067.28,458619.77,0.7758,38628.2,0.0244,104,Bronze,Cross-sell,High
168,CUST-C0202,INST-019,Business Loan,0.5166,0.0202,Stable,7.5853,0.1754,11.3208,97.9978,65.2125,Deny,1195.17,360222.38,0.4267,49165.58,-0.0624,60,Silver,Upsell,Low
169,CUST-C0016,INST-015,Credit Card,0.0267,0.0101,Stable,4.5721,0.0654,0.6073,96.413,62.6639,Approve,9271.17,346196.3,0.4189,119463.28,0.0826,92,Platinum,Cross-sell,Medium
170,CUST-C0193,INST-002,Personal Loan,0.5045,0.2929,Stable,-7.1922,0.0176,4.5616,60.6061,85.4827,Approve with Conditions,25185.54,248333.27,0.1484,9556.42,0.2142,125,Platinum,Cross-sell,Low
171,CUST-C0121,INST-004,Credit Card,0.3732,0.1599,Stable,7.3322,0.0448,13.8076,76.9438,58.0045,Deny,30723.36,368101.22,0.8264,457504.96,0.1041,42,Bronze,Retention,Medium
172,CUST-C0028,INST-005,Mortgage,0.8036,0.2853,Worsening,9.4161,0.0034,0.0569,91.9806,76.065,Approve with Conditions,40763.31,26110.5,0.3857,2032.06,-0.0616,153,Gold,Retention,Low
173,CUST-C0137,INST-005,Mortgage,0.8968,0.2962,Worsening,-2.6492,0.1235,14.096,72.899,91.9052,Approve,21376.31,493059.27,0.5999,3319136.17,-0.0879,155,Platinum,Retention,High
174,CUST-C0249,INST-002,Mortgage,0.6582,0.0185,Worsening,3.0104,0.1022,3.1654,66.6006,63.6013,Approve,12784.28,127101.17,0.6226,369592.08,0.2368,75,Platinum,None,Low
175,CUST-C0042,INST-018,Mortgage,0.9483,0.2774,Improving,2.3094,0.1096,13.9563,62.9625,82.1125,Approve,28668.33,15738.42,0.0135,43876.02,0.2461,95,Silver,Cross-sell,High
176,CUST-C0178,INST-010,Mortgage,0.2042,0.223,Stable,-6.3966,0.0127,12.5262,87.7884,68.2724,Approve,15603.04,268703.38,0.5849,956927.09,0.0967,153,Silver,Upsell,Medium
177,CUST-C0092,INST-013,Mortgage,0.4013,0.2689,Stable,2.3278,0.0201,8.6019,79.4941,91.7341,Approve with Conditions,25478.56,260287.87,0.762,1399.79,-0.0427,112,Silver,None,Medium
178,CUST-C0186,INST-016,Mortgage,0.6832,0.1987,Stable,-7.7823,0.0086,7.5124,81.7706,84.8622,Approve,41767.88,384578.48,0.1879,1893.26,0.1075,19,Bronze,Upsell,High
179,CUST-C0235,INST-015,Personal Loan,0.3996,0.2182,Improving,7.6686,0.0409,11.524,71.9416,69.5856,Approve with Conditions,36233.98,280502.91,0.9243,43176.15,-0.019,101,Gold,Cross-sell,Medium
180,CUST-C0075,INST-010,Personal Loan,0.3257,0.1645,Stable,-8.8132,0.1598,8.593,67.7661,94.2327,Approve,28326.3,490472.34,0.6747,1574902.58,-0.0649,118,Silver,Upsell,High
181,CUST-C0024,INST-010,Personal Loan,0.0594,0.2102,Stable,9.5663,0.1534,0.9369,64.2155,45.0411,Approve,14203.77,278398.43,0.8603,418399.03,-0.0432,33,Platinum,Retention,Low
182,CUST-C0121,INST-017,Business Loan,0.4616,0.0937,Improving,-5.7404,0.1426,2.682,63.9348,56.3735,Deny,34812.91,217915.24,0.5996,22398.98,-0.0125,121,Gold,Upsell,High
183,CUST-C0054,INST-017,Mortgage,0.3097,0.2895,Worsening,-1.8205,0.0622,4.3562,65.7011,58.2464,Approve with Conditions,43743.34,448249.99,0.3604,4612.03,0.1432,120,Bronze,Cross-sell,Medium
184,CUST-C0128,INST-006,Personal Loan,0.8162,0.2003,Improving,1.0114,0.0641,8.6675,77.9045,47.7301,Deny,6447.63,477892.04,0.0311,49256.14,-0.0285,85,Gold,Cross-sell,Medium
185,CUST-C0039,INST-014,Credit Card,0.9372,0.1301,Improving,3.1794,0.1463,13.1986,87.1348,49.7945,Approve,15639.66,318196.56,0.6097,1511854.31,0.1507,63,Bronze,None,Medium
186,CUST-C0089,INST-016,Personal Loan,0.1992,0.1083,Worsening,-6.6158,0.0755,7.1923,96.46,76.4873,Approve with Conditions,39475.25,263237.87,0.7742,4133561.51,0.1249,115,Platinum,Upsell,Medium
187,CUST-C0210,INST-012,Personal Loan,0.1494,0.1006,Stable,-2.433,0.0543,3.6594,62.8432,79.2521,Approve,48764.12,233716.82,0.1566,4774.81,0.109,24,Bronze,None,High
188,CUST-C0051,INST-004,Personal Loan,0.6497,0.0605,Worsening,-8.7846,0.1859,9.1369,63.5126,62.4508,Approve,2305.88,402938.23,0.3897,34430.89,-0.0479,126,Silver,Upsell,High
189,CUST-C0233,INST-017,Personal Loan,0.8442,0.2717,Stable,-0.116,0.1386,2.7291,81.599,71.2153,Approve with Conditions,24051.52,232054.17,0.6548,967280.03,0.2679,25,Platinum,None,Medium
190,CUST-C0013,INST-013,Personal Loan,0.6146,0.2573,Improving,6.5126,0.1919,1.4167,91.6944,73.7251,Deny,3359.08,470131.55,0.1611,655340.48,0.2617,107,Platinum,Cross-sell,Low
191,CUST-C0145,INST-008,Credit Card,0.4053,0.1253,Worsening,-2.7094,0.0944,2.7596,84.5053,46.3904,Approve with Conditions,47816.58,434859.32,0.7007,504067.84,0.0865,119,Gold,None,High
192,CUST-C0211,INST-015,Personal Loan,0.3823,0.1537,Stable,-3.6731,0.1992,4.9555,61.3678,47.2828,Approve with Conditions,15599.27,468592.11,0.5129,612341.4,0.2387,61,Bronze,None,High
193,CUST-C0044,INST-002,Mortgage,0.1348,0.2603,Stable,-1.6515,0.0444,1.7729,74.1043,63.3787,Deny,41917.99,377886.68,0.2591,2591.44,0.2697,39,Silver,None,High
194,CUST-C0115,INST-015,Line of Credit,0.7998,0.058,Improving,-3.199,0.0042,13.9249,77.132,79.0381,Approve with Conditions,8800.12,52946.41,0.4944,82068.11,-0.0105,147,Silver,Upsell,Medium
195,CUST-C0089,INST-008,Business Loan,0.6354,0.2088,Improving,8.4062,0.0096,1.6418,75.2167,41.0575,Approve,44794.61,237686.45,0.3282,2953126.19,0.1216,54,Gold,Cross-sell,Low
196,CUST-C0185,INST-006,Business Loan,0.178,0.1302,Stable,-6.0494,0.0798,3.664,87.4645,41.0185,Deny,32937.98,393824.89,0.6125,3711669.97,0.1448,155,Platinum,None,Low
197,CUST-C0124,INST-019,Credit Card,0.3315,0.0032,Worsening,4.8699,0.0753,2.7575,89.4036,57.1663,Approve,32160.57,170226.73,0.2751,8620.5,-0.04,31,Platinum,Retention,Medium
198,CUST-C0213,INST-020,Credit Card,0.2945,0.1275,Improving,-5.7129,0.1882,2.478,95.7772,67.625,Deny,15397.87,216795.55,0.3804,3381912.89,0.1148,126,Silver,Cross-sell,Medium
199,CUST-C0244,INST-013,Credit Card,0.7361,0.0731,Stable,2.1465,0.1172,3.9164,88.2836,54.5779,Deny,21754.35,484313.69,0.8834,4488966.86,-0.0699,120,Bronze,Upsell,Medium
200,CUST-C0147,INST-014,Mortgage,0.0802,0.0704,Worsening,-7.1019,0.0678,14.2502,87.3577,82.3567,Deny,42149.19,186149.18,0.0025,4022023.26,0.0302,67,Platinum,Retention,Low
201,CUST-C0108,INST-019,Credit Card,0.244,0.2369,Worsening,-8.2608,0.0528,3.7388,65.5315,87.1857,Deny,1145.68,444102.14,0.4998,49866.52,0.2744,119,Silver,Retention,High
202,CUST-C0038,INST-013,Credit Card,0.3091,0.2751,Stable,-0.7449,0.1769,4.7303,80.7962,91.4863,Approve with Conditions,34797.45,281964.49,0.1566,2741516.75,0.1942,22,Gold,None,Medium
203,CUST-C0054,INST-012,Mortgage,0.7267,0.2035,Worsening,3.6016,0.1763,0.0827,96.9626,68.3949,Approve,10170.99,66818.12,0.1426,12985.23,0.2237,142,Silver,Retention,Medium
204,CUST-C0132,INST-003,Line of Credit,0.1928,0.1736,Stable,8.6072,0.177,1.7677,68.0323,47.1529,Approve,49586.65,317231.09,0.3751,71136.95,0.0275,131,Bronze,Cross-sell,Medium
205,CUST-C0067,INST-019,Personal Loan,0.8922,0.2803,Improving,9.629,0.1775,2.1701,64.4281,70.6906,Deny,6411.16,59570.98,0.8352,3361.68,-0.0145,75,Silver,Upsell,High
206,CUST-C0086,INST-016,Line of Credit,0.7212,0.1494,Improving,8.72,0.1691,11.0189,68.1799,61.661,Deny,31415.52,11162.12,0.2829,9532.16,0.1612,97,Platinum,Upsell,Low
207,CUST-C0191,INST-008,Business Loan,0.6392,0.1994,Stable,-1.8184,0.1055,12.2957,83.5047,80.3133,Approve,20019.91,247068.15,0.8565,262301.38,0.1617,53,Gold,Retention,Medium
208,CUST-C0018,INST-013,Business Loan,0.8012,0.2234,Improving,-5.7077,0.0937,10.9406,62.37,79.2379,Approve with Conditions,5099.58,171847.77,0.5003,418571.45,0.0558,141,Silver,Upsell,Low
209,CUST-C0236,INST-009,Personal Loan,0.6234,0.0205,Worsening,-2.8521,0.1968,2.3736,68.9552,45.731,Approve with Conditions,19804.84,400898.55,0.9116,82204.27,0.0402,109,Bronze,Upsell,Low
210,CUST-C0009,INST-016,Business Loan,0.9895,0.0436,Stable,-0.4574,0.0763,5.0825,71.906,45.8146,Deny,30351.7,320585.13,0.6827,7290.35,0.1095,122,Silver,Cross-sell,Medium
211,CUST-C0249,INST-014,Business Loan,0.2954,0.0831,Worsening,4.9728,0.0595,3.6968,97.9793,98.989,Approve,42701.31,499649.17,0.8112,78326.51,0.0177,86,Platinum,Upsell,Medium
212,CUST-C0202,INST-006,Credit Card,0.0302,0.0699,Worsening,-5.9464,0.1881,7.3624,92.7483,73.4848,Approve with Conditions,4693.85,307437.41,0.169,56224.71,0.0448,92,Gold,Retention,Low
213,CUST-C0065,INST-014,Business Loan,0.6033,0.0138,Improving,-3.1008,0.1755,5.3867,88.2829,60.0498,Approve,18802.88,324799.65,0.0823,1173411.92,0.2712,20,Platinum,Retention,Medium
214,CUST-C0056,INST-007,Personal Loan,0.3007,0.1468,Stable,-6.2092,0.1899,2.1985,88.9068,45.6639,Deny,18576.44,197268.95,0.7839,780244.14,0.126,136,Silver,Upsell,Low
215,CUST-C0177,INST-014,Personal Loan,0.9871,0.0937,Worsening,4.0197,0.1415,4.4847,74.2374,80.6774,Deny,43581.92,344976.73,0.5853,2778445.8,0.1738,38,Gold,None,Medium
216,CUST-C0198,INST-017,Mortgage,0.1854,0.0326,Worsening,9.1472,0.1093,4.9382,82.7978,94.2893,Deny,7599.27,437789.42,0.5325,483923.41,0.2165,67,Gold,Upsell,High
217,CUST-C0030,INST-010,Credit Card,0.2714,0.0539,Stable,-9.1516,0.0316,13.6578,81.4284,41.2759,Approve with Conditions,13247.6,197229.07,0.2827,6691.3,0.0294,52,Silver,Cross-sell,Low
218,CUST-C0080,INST-004,Mortgage,0.3013,0.1916,Improving,8.1583,0.0872,0.9973,98.7702,92.5204,Approve,44042.67,162763.23,0.7663,1537234.42,-0.0125,60,Bronze,Retention,Low
219,CUST-C0162,INST-003,Personal Loan,0.6892,0.1157,Improving,-4.1124,0.0056,13.704,72.4919,41.1507,Deny,38803.36,299379.01,0.1006,67771.81,0.2061,145,Gold,None,Low
220,CUST-C0171,INST-009,Business Loan,0.6522,0.1205,Worsening,-2.5964,0.1967,7.716,89.9882,74.8582,Deny,36009.5,258530.91,0.5846,9073.53,-0.0754,131,Bronze,Retention,Low
221,CUST-C0017,INST-018,Credit Card,0.646,0.2415,Improving,4.5134,0.0003,1.215,64.6977,44.6066,Approve,24093.2,351969.47,0.1475,8018.98,0.2074,56,Platinum,None,Medium
222,CUST-C0218,INST-003,Mortgage,0.087,0.2938,Stable,6.0146,0.0293,7.8879,74.3952,82.5407,Approve,17475.31,460335.25,0.4124,1696111.92,0.2445,53,Gold,Retention,High
223,CUST-C0108,INST-018,Business Loan,0.672,0.15,Stable,6.236,0.0927,11.9485,70.726,89.3503,Approve,3216.92,305886.49,0.0461,360217.38,0.0002,66,Platinum,Cross-sell,Medium
224,CUST-C0250,INST-005,Mortgage,0.154,0.2734,Improving,6.5116,0.1119,11.2438,75.7299,76.8451,Approve with Conditions,35660.74,353100.2,0.3176,1651.8,0.1783,122,Bronze,Cross-sell,Medium
225,CUST-C0046,INST-013,Mortgage,0.3448,0.2751,Worsening,7.7977,0.1411,2.1949,86.7482,72.2096,Approve,22616.32,172222.64,0.2626,6902.18,0.121,42,Silver,None,Medium
226,CUST-C0039,INST-017,Line of Credit,0.9057,0.033,Stable,-4.9023,0.1799,4.181,83.1784,58.8662,Deny,16006.71,439337.05,0.3311,58927.64,0.1043,97,Gold,Retention,High
227,CUST-C0238,INST-007,Line of Credit,0.3548,0.0054,Worsening,-0.9469,0.0946,2.7286,90.7366,55.6926,Deny,20557.18,140457.58,0.0942,24758.53,0.2326,88,Gold,Upsell,High
228,CUST-C0141,INST-013,Mortgage,0.2078,0.2972,Stable,-5.6691,0.0858,4.2276,79.3234,91.4259,Approve with Conditions,11604.2,156195.18,0.8714,32864.64,0.0193,70,Gold,Retention,High
229,CUST-C0056,INST-010,Personal Loan,0.163,0.059,Stable,9.6269,0.1624,2.8599,90.3401,65.4318,Deny,30063.8,148586.91,0.2984,410678.88,0.1178,29,Silver,Upsell,Medium
230,CUST-C0179,INST-005,Line of Credit,0.1028,0.1114,Stable,-1.7012,0.0388,2.4096,85.2058,58.3514,Deny,47865.04,352905.15,0.2491,9926.89,0.2539,83,Platinum,Retention,Medium
231,CUST-C0096,INST-017,Personal Loan,0.5704,0.0765,Stable,5.6878,0.033,6.3882,74.187,49.7487,Deny,17673.01,76749.73,0.039,2047318.76,0.2453,84,Silver,Cross-sell,Low
232,CUST-C0246,INST-016,Credit Card,0.0086,0.1722,Stable,-8.3748,0.1481,6.7718,63.2254,96.57,Approve,34507.44,380555.34,0.6055,812915.47,0.2746,104,Silver,Upsell,Medium
233,CUST-C0135,INST-016,Line of Credit,0.0702,0.2715,Improving,2.0301,0.0014,8.0184,68.5809,97.0185,Deny,19013.98,242498.18,0.2257,1455375.08,0.0187,144,Platinum,None,Low
234,CUST-C0209,INST-001,Mortgage,0.838,0.2114,Improving,6.9516,0.0125,1.7174,70.8826,92.9325,Approve with Conditions,44754.44,49927.6,0.3766,3330.33,-0.0186,21,Silver,None,High
235,CUST-C0055,INST-010,Business Loan,0.956,0.0028,Improving,-3.3231,0.1899,14.4668,67.3087,93.1426,Approve with Conditions,8942.95,123007.41,0.2181,4820.82,0.2399,69,Gold,Upsell,Medium
236,CUST-C0012,INST-019,Personal Loan,0.9307,0.049,Worsening,-3.1535,0.0975,12.8657,70.3454,96.3833,Approve,43047.79,402214.88,0.8151,75499.14,-0.0642,24,Platinum,None,Medium
237,CUST-C0247,INST-018,Credit Card,0.0552,0.1005,Worsening,-9.1644,0.0076,6.6395,65.9976,66.7705,Approve with Conditions,20505.91,257907.49,0.4724,91600.62,0.1424,93,Gold,Cross-sell,High
238,CUST-C0010,INST-017,Personal Loan,0.5404,0.284,Worsening,0.2216,0.1538,5.6606,74.6182,66.0789,Approve with Conditions,38221.24,108010.08,0.5742,4834.09,0.1283,142,Platinum,Cross-sell,Low
239,CUST-C0038,INST-010,Line of Credit,0.8042,0.2398,Worsening,-1.568,0.0001,3.7978,89.2496,53.2687,Approve with Conditions,7471.42,122234.87,0.4578,589634.73,-0.0084,125,Silver,Retention,High
240,CUST-C0169,INST-016,Mortgage,0.4818,0.2524,Improving,2.047,0.1528,0.5463,91.0439,58.9363,Approve,25338.18,480548.46,0.227,7864.38,-0.0323,133,Gold,Cross-sell,Low
241,CUST-C0081,INST-003,Personal Loan,0.9103,0.2649,Improving,4.1917,0.1821,1.8889,96.4732,92.4227,Deny,32486.59,57639.69,0.654,1165749.1,0.2018,29,Gold,Cross-sell,Medium
242,CUST-C0009,INST-007,Mortgage,0.8924,0.0942,Stable,5.0963,0.0652,11.9787,73.6501,62.6346,Approve,18565.83,312218.1,0.2336,45236.33,0.0581,99,Bronze,Upsell,High
243,CUST-C0138,INST-014,Credit Card,0.2174,0.0226,Improving,7.2907,0.0793,14.9774,83.6006,95.2684,Approve with Conditions,5753.33,118561.4,0.899,3838500.78,0.2044,46,Bronze,Retention,Medium
244,CUST-C0096,INST-014,Mortgage,0.7536,0.0767,Stable,5.0846,0.0602,8.3175,78.7815,86.8598,Approve with Conditions,30816.36,159022.54,0.8343,72142.99,0.0954,143,Silver,Retention,Low
245,CUST-C0225,INST-015,Credit Card,0.5595,0.1839,Worsening,-2.3395,0.1728,0.7044,94.4445,84.5389,Approve,9127.64,133500.54,0.8569,4484.72,0.2374,35,Silver,Cross-sell,Medium
246,CUST-C0171,INST-015,Mortgage,0.0192,0.2575,Improving,2.0375,0.1877,10.1261,84.2656,58.3852,Approve,3816.84,237524.01,0.5168,95189.96,0.2237,140,Bronze,Retention,Medium
247,CUST-C0062,INST-013,Mortgage,0.1541,0.1675,Improving,6.428,0.0027,1.4401,71.3453,87.3379,Approve with Conditions,2088.58,488017.02,0.8202,526951.24,0.2301,101,Bronze,Upsell,Medium
248,CUST-C0015,INST-001,Mortgage,0.9819,0.13,Improving,-4.3281,0.1061,1.6021,77.0575,60.1966,Approve with Conditions,47289.42,310449.63,0.0544,871039.11,0.0797,96,Platinum,Upsell,Medium
249,CUST-C0204,INST-008,Business Loan,0.0532,0.1825,Improving,6.1327,0.054,10.3238,81.8072,91.5503,Deny,24372.08,196716.74,0.8346,653871.23,-0.069,84,Platinum,Retention,High
250,CUST-C0235,INST-002,Line of Credit,0.9708,0.2193,Stable,2.3582,0.0413,12.7177,98.3335,45.3188,Approve,47540.95,455329.9,0.0349,9871.06,0.069,82,Bronze,None,Low
251,CUST-C0197,INST-003,Personal Loan,0.9657,0.2899,Improving,6.4388,0.0921,2.9649,82.6241,71.6268,Deny,45090.97,44917.01,0.8886,5772.33,0.218,153,Silver,Cross-sell,Low
252,CUST-C0007,INST-017,Credit Card,0.5211,0.1511,Worsening,-9.014,0.1052,2.2897,67.2375,94.2641,Approve with Conditions,42333.07,486280.83,0.1346,4642945.21,-0.0834,127,Bronze,Cross-sell,Low
253,CUST-C0060,INST-020,Line of Credit,0.0865,0.2002,Stable,7.6213,0.1416,2.8817,92.5896,45.6612,Approve,45297.25,337593.1,0.3079,5084.13,0.2331,127,Bronze,None,High
254,CUST-C0126,INST-003,Credit Card,0.462,0.1416,Improving,3.9095,0.1663,11.5287,83.3605,66.7997,Approve,23411.8,499937.22,0.9225,23291.65,0.2971,66,Silver,Upsell,Low
255,CUST-C0099,INST-018,Mortgage,0.8476,0.2176,Worsening,-2.89,0.0786,11.8646,73.6256,54.8724,Deny,31295.67,312311.57,0.2759,7607.76,-0.06,94,Bronze,None,High
256,CUST-C0058,INST-008,Line of Credit,0.2855,0.1692,Stable,6.3643,0.1205,0.8049,60.8894,68.0512,Deny,42303.03,197729.3,0.3624,156820.37,0.0337,32,Platinum,Retention,High
257,CUST-C0106,INST-004,Personal Loan,0.5911,0.2321,Worsening,-5.2052,0.138,3.767,64.1316,61.2461,Deny,12752.82,471524.09,0.3361,146486.72,-0.0999,159,Platinum,Upsell,Low
258,CUST-C0118,INST-018,Line of Credit,0.9235,0.2816,Stable,3.9986,0.1579,5.0658,71.2525,93.5936,Approve with Conditions,18073.76,138702.05,0.8243,898778.77,-0.0401,53,Platinum,Cross-sell,Low
